Passenger Id,Name,Sex,Age,Pclass,Survived,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Email,Join Date,Annual Spend
P00024,"Sloper, Mr. William Thompson",m,28.0,First,1,0,0,113788,35.5,A6,Southampton,sloper@mail.com,1911-10-11,"USD 1,399.97"
P00542,"Andersson, Miss. Ingeborg Constanzia",F,9.0,3,0,4,2,347082,31.2750,,Southampton,andersson@gmail.com,07/07/1910,
P00799,"Ibrahim Shawah, Mr. Yousseff",MALE,30.0,3,No,0,0,2685,7.2292,,c,ibrahimshawah@yahoo.com,1910-04-14,149.23 USD
P00673,"Mitchell, Mr. Henry Michael", male ,70.0,2,0,0,0,C.A. 24580,10.5000,,s,mitchell@outlook.com,1912-10-03,
P00826,"Flynn, Mr. John",M,,3rd,0,0,0,368323,6.95,,Queenstown,flynn@gmail.com,09/12/1911,$130.52
P00251,"Reed, Mr. James George",MALE,,3,0,0.0,0,362316,7.2500,,S,reed@gmail.com,06-Jan-1911,240.69 USD
P00753,"Vande Velde, Mr. Johannes Joseph", male ,33.0,Third,0,0,0,345780,9.5000,,Southampton,vandevelde@gmail.com,"Oct 14, 1911",USD 136.97
P00351,"Odahl, Mr. Nils Martin",m,23.0,3rd,0,0,0,  7267 ,9.2250,,Southampton,odahl@outlook.com,01/05/1912,USD 168.38
P00759,"Theobald, Mr. Thomas Leonard",MALE,34.0,3,0,0,0,  363294 ,8.0500,,s,,04-Jul-1912,271.18
P00760,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Female,33.0,First,1,0,0,110152,86.5000,B77,Southampton,rothes@outlook.com,27-Jul-1910,"1,428.37"
P00108,"Moss, Mr. Albert Johan",male,,3,1,0,0,312991,7.7750,,S,moss@outlook.com,19-Nov-1912,$309.35
P00446,"Dodge, Master. Washington",male,4.0,1st,1,0,2,  33638 ,81.8583,A34,s,dodge@outlook.com,30/11/1911,"$1,146.30"
P00142,"Nysten, Miss. Anna Sofia",F,22.0,3rd,1,0,0,347081,7.75,,Southampton,nysten@gmail.com,03/11/1912,$188.22
P00651,"Mitkoff, Mr. Mito",m,,3rd,0,0.0,0,349221,7.8958,,s,mitkoff@yahoo.com,"Sep 22, 1910",124.00 USD
P00545,"Douglas, Mr. Walter Donald",M,50.0,First,0,1,0,  PC 17761 ,106.4250,C86,c,douglas@mail.com,04/22/1910,"4,174.37"
P00111,"Porter, Mr. Walter Chamberlain",M,47.0,1st,0,0,0,110465,,C110,s,porter@yahoo.com,17/03/1912,"USD 1,178.55"
P00594,"Bourke, Miss. Mary",FEMALE,,3,0,0,2,364848,7.7500,,Q,bourke@mail.com,31/03/1911,220.13
P00520,"Pavlovic, Mr. Stefo",m,,3,0,0,0,349242,7.8958,,Southampton,pavlovic@outlook.com,03/08/1910,272.88 USD
P100042,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,Second,0,1,0,11668,21.0000,,S,turpin@mail.com,09-Oct-1910,USD 440.06
P00676,"Edvardsson, Mr. Gustaf Hjalmar",Male,18.0,Third,0,0,0,  349912 ,7.7750,,S,edvardsson@outlook.com,26-Nov-1912,82.39 USD
P00281,"Duane, Mr. Frank", male ,65.0,Third,0,0,0,  336439 ,7.7500,,q,duane@yahoo.com,22/11/1911,244.97
P00137,"Newsom, Miss. Helen Monypeny",Female,19.0,First,1,0.0,2,  11752 ,26.2833,D47,S,newsom@outlook.com,1910-11-04,518.38 USD
P00423,"Zimmerman, Mr. Leo",Male,,Third,0,0,0,315082,7.8750,,s,zimmerman@mail.com,23-Jul-1912,64.16 USD
P00209,"Carr, Miss. Helen ""Ellen""",F,16.0,3rd,1,0,0,367231,7.7500,,q,carr@yahoo.com,1911-04-20,$103.59
P00443,"Petterson, Mr. Johan Emil",Male,25.0,3rd,0,1,0,347076,7.7750,,s,petterson@gmail.com,03/06/1912,302.40
P00087,"Ford, Mr. William Neal",male,16.0,3rd,0,1,3,W./C. 6608,34.3750,,s,ford@gmail.com,09/19/1911,
P00045,"Devaney, Miss. Margaret Delia",f,19.0,3,1,0,0,330958,7.8792,,q,devaney@gmail.com,26/10/1912,$115.18
P00532,"Toufik, Mr. Nakli",M,,3,0,0,0,  2641 ,,,Cherbourg ,toufik@gmail.com,"Oct 07, 1911",163.42 USD
P100048,"O'Driscoll, Miss. Bridget",f,,3,1,0.0,0,14311,7.75,,Queenstown,odriscoll@mail.com,21-May-1911,USD 284.24
P00635,"Skoog, Miss. Mabel",FEMALE.,9.0,3rd,0,3,2,  347088 ,27.9000,,s,skoog@gmail.com,1910-02-21,$379.60
P00291,"Barber, Miss. Ellen ""Nellie""",F,26.0,First,1,0,0,19877,78.8500,,S,barber@mail.com,10/12/1912,930.83
P00339,"Dahl, Mr. Karl Edwart",M,45.0,3,1,0.0,0,7598,8.0500,,S,dahl@gmail.com,"Nov 12, 1910",$79.72
P00358,"Funk, Miss. Annie Clemmer",f,38.0,Second,0,0,0,237671,13.0000,,s,funk@mail.com,12/23/1910,USD 473.56
P00293,"Levy, Mr. Rene Jacques",MALE,,2nd,0,0,0,SC/Paris 2163,,D,C,levy@mail.com,06/05/1911,175.63
P00228,"Lovell, Mr. John Hall (""Henry"")",Male,20.5,3,0,0,0,A/5 21173,7.2500,,,lovell@outlook.com,02-Mar-1912,$120.79
P00592,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Female,52.0,1st,1,1,0,36947,78.2667,D20,Cherbourg ,stephenson@mail.com,14-Nov-1910,"2,111.21"
P00426,"Wiseman, Mr. Phillippe",MALE,,3,0,0.0,0,A/4. 34244,7.2500,,s,wiseman@gmail.com,17/02/1912,188.54 USD
P00789,"Dean, Master. Bertram Vere",M,1.0,3rd,1,1,2,C.A. 2315,20.5750,,Southampton,dean@outlook.com,18-Jul-1911,$511.88
P00523,"Lahoud, Mr. Sarkis",Male,,Third,0,0,0,2624,7.2250,,C,lahoud@gmail.com,05/17/1912,USD 275.91
P100050,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,Third,0,1,0,349237,17.8000,,S,arnoldfranchi@mail.com,1912-01-27,$293.08
P00353,"Elias, Mr. Tannous",male,15.0,3,0,1,1,2695,7.2292,,Cherbourg ,elias@yahoo.com,"Jun 21, 1911",$70.62
P00494,"Artagaveytia, Mr. Ramon",M,71.0,1st,0,0,0,PC 17609,49.5042,,,,28-Feb-1911,"1,914.76 USD"
P00061,"Sirayanian, Mr. Orsen",m,,Third,0,0,0,2669,7.2292,,Cherbourg ,sirayanian@mail.com,30-Nov-1910,USD 115.30
P00599,"Boulos, Mr. Hanna",M,,3,No,0,0,  2664 ,7.2250,,Cherbourg ,boulos@outlook.com,"Jul 11, 1911",167.75
P00723,"Gillespie, Mr. William Henry",m,,Second,0,0,0,  12233 ,13.0000,,s,gillespie@mail.com,"Jan 29, 1912",USD 261.38
P00427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female ,28.0,2,1,1,0,2003,26.0000,,Southampton,clarke@mail.com,10/09/1911,USD 230.07
P00469,"Scanlan, Mr. James",Male,,3rd,0,0,0,36209,7.725,,Queenstown,scanlan@gmail.com,02/05/1911,USD 102.19
P00067,"Nye, Mrs. (Elizabeth Ramell)",F,29.0,Second,1,0,0,C.A. 29395,10.5000,F33,Southampton,nye@mail.com,26/11/1911,257.93 USD
P00333,"Graham, Mr. George Edward",M,38.0,First,0,0,1,PC 17582,153.4625,,S,graham@yahoo.com,18-Dec-1911,"$4,401.50"
P00376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",F,,First,1,1,0,PC 17604,82.1708,,c,meyer@gmail.com,02-Mar-1910,"USD 1,105.27"
P00382,"Nakid, Miss. Maria (""Mary"")",female ,1.0,Third,1,0,2,2653,15.7417,,C,nakid@mail.com,1912-10-17,USD 326.18
P00558,"Robbins, Mr. Victor", male ,,1,0,0,0,  PC 17757 ,227.5250,,c,robbins@mail.com,03/20/1912,"$6,377.90"
P00261,"Smith, Mr. Thomas",M,,Third,0,0,0,384461,7.7500,,q,,1911-07-07,280.01
P00236,"Harknett, Miss. Alice Phoebe",female,,Third,0,0,0,  W./C. 6609 ,7.5500,,S,harknett@outlook.com,"Jul 24, 1912",n/a
P00219,"Bazzani, Miss. Albina",female,32.0,1st,1,0.0,0,11813,76.2917,D15,Cherbourg ,bazzani@yahoo.com,"Feb 18, 1910","1,080.51 USD"
P00383,"Tikkanen, Mr. Juho",male,32.0,Third,0,0,0,STON/O 2. 3101293,7.925,,S,tikkanen@mail.com,10-Jan-1912,$211.69
P00440,"Kvillner, Mr. Johan Henrik Johannesson",MALE,31.0,Second,0,0,0,  C.A. 18723 ,10.5000,,s,kvillner@yahoo.com,08-May-1911,$344.37
P00763,"Barah, Mr. Hanna Assi", male ,20.0,Third,Yes,0.0,0,  2663 ,7.2292,,c,barah@mail.com,15/10/1911,89.07
P00306,"Allison, Master. Hudson Trevor",m,,1st,Yes,1,2,113781,151.5500,C22 C26,Southampton,allison@gmail.com,21-Feb-1912,"$2,283.18"
P00138,"Futrelle, Mr. Jacques Heath",Male,37.0,1,0,1,0,113803,53.1000,,S,futrelle@gmail.com,11-Sep-1911,"1,679.68 USD"
P00539,"Risien, Mr. Samuel Beard",Male,,3rd,0,0,0,364498,14.5000,,s,risien@outlook.com,12/05/1912,322.98
P00077,"Staneff, Mr. Ivan",m,,3rd,0,0,0,349208,7.8958,,,staneff@yahoo.com,14-Dec-1910,USD 104.50
P00794,"Hoyt, Mr. William Fisher",Male,,1,0,0,0,PC 17600,30.6958,,Cherbourg ,hoyt@mail.com,28-Jan-1911,361.32
P00437,"Ford, Miss. Doolina Margaret ""Daisy""",FEMALE,21.0,3,0,2,2,W./C. 6608,34.375,,s,,1910-04-03,896.59
P00267,"Panula, Mr. Ernesti Arvid", male ,16.0,3rd,0,4,1,3101295,39.6875,,Southampton,panula@yahoo.com,"Jul 20, 1912",318.16 USD
P00216,"Newell, Miss. Madeleine",F,31.0,1st,1,1,0,35273,113.2750,D36,C,newell@yahoo.com,09/25/1910,
P00335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",FEMALE,,1st,1,1,0,PC 17611,133.6500,,s,frauenthal@yahoo.com,27/11/1912,"4,876.68 USD"
P00524,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",FEMALE.,44.0,1,1,0.0,1,111361,57.9792,B18,Cherbourg ,hippach@mail.com,"Oct 03, 1911",
P00508,"Bradley, Mr. George (""George Arthur Brayton"")",m,,First,1,0,0,  111427 ,26.5500,,Southampton,bradley@gmail.com,1910-01-28,USD 694.50
P00210,"Blank, Mr. Henry",male,40.0,First,1,0,0,112277,31.0000,A31,C,blank@mail.com,10-Jun-1911,$255.45
P00445,"Johannesen-Bratthammer, Mr. Bernt",Male,,Third,1,0,0,65306,8.1125,,s,,"Dec 29, 1912",287.02 USD
P00750,"Connaghton, Mr. Michael",male,31.0,3rd,0,0,0,335097,7.7500,,,connaghton@gmail.com,03/01/1912,249.13
P00663,"Colley, Mr. Edward Pomeroy",MALE,47.0,1st,No,0.0,0,  5727 ,25.5875,E58,s,colley@gmail.com,11/09/1911,507.06
P00199,"Madigan, Miss. Margaret ""Maggie""",f,,Third,Yes,0,0,370370,7.7500,,Q,madigan@yahoo.com,05-Jun-1910,
P00839,"Chip, Mr. Chang",MALE,32.0,3,1,0,0,  1601 ,56.4958,,Southampton,,25/04/1910,"1,168.67 USD"
P00300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",f,180.0,First,1,0,1,PC 17558,247.5208,B58 B60,C,baxter@gmail.com,03/31/1911,"USD 5,534.40"
P00598,"Johnson, Mr. Alfred",MALE,49.0,3,0,0,0,  LINE ,0.0000,,Southampton,johnson@mail.com,02/05/1910,0.00 USD
P00686,"Laroche, Mr. Joseph Philippe Lemercier",MALE,25.0,2,0,1,2,SC/Paris 2123,41.5792,,c,laroche@mail.com,08/24/1911,"1,387.75"
P00844,"Lemberopolous, Mr. Peter L",Male,34.5,3rd,0,0,0,  2683 ,6.4375,,C,lemberopolous@gmail.com,08/01/1912,230.02 USD
P00498,"Shellard, Mr. Frederick William",male,,Third,0,0,0,  C.A. 6212 ,15.1,,Southampton,shellard@yahoo.com,02-Sep-1912,557.12 USD
P00317,"Kantor, Mrs. Sinai (Miriam Sternin)",FEMALE.,24.0,Second,1,1,0,  244367 ,26.0000,,Southampton,kantor@outlook.com,29-Feb-1912,USD 612.51
P00295,"Mineff, Mr. Ivan",Male,24.0,3rd,0,0,0,  349233 ,7.8958,,s,mineff@outlook.com,12/03/1910,271.14
P00623,"Nakid, Mr. Sahid",Male,20.0,Third,1,1.0,1,  2653 ,15.7417,,C,nakid@gmail.com,29/12/1910,502.36
P00003,"Heikkinen, Miss. Laina",FEMALE,26.0,3,1,0,0,STON/O2. 3101282,7.9250,,S,heikkinen@outlook.com,09/12/1912,88.49
P00097,"Goldschmidt, Mr. George B",M,71.0,First,0,0,0,PC 17754,34.6542,A5,C,goldschmidt@gmail.com,13-Dec-1910,$332.80
P00468,"Smart, Mr. John Montgomery",M,56.0,First,0,0.0,0,  113792 ,26.5500,,s,smart@outlook.com,23/04/1910,798.73
P00121,"Hickman, Mr. Stanley George", male ,21.0,2nd,0,2,0,S.O.C. 14879,73.5,,Southampton,hickman@yahoo.com,1912-05-25,"1,998.48 USD"
P00466,"Goncalves, Mr. Manuel Estanslas",MALE,38.0,3,0,0,0,SOTON/O.Q. 3101306,7.0500,,Southampton,goncalves@mail.com,12/01/1911,173.82
P00549,"Goldsmith, Mr. Frank John",male,33.0,Third,0,1.0,1,  363291 ,20.5250,,Southampton,goldsmith@outlook.com,1912-11-12,806.02 USD
P00079,"Caldwell, Master. Alden Gates", male ,0.83,2,1,0.0,2,  248738 ,29.0000,,Southampton,caldwell@outlook.com,1910-02-09,
P00240,"Hunt, Mr. George Henry",male,33.0,Second,0,0,0,SCO/W 1585,12.2750,,Southampton,hunt@outlook.com,"Mar 22, 1911",490.77
P00211,"Ali, Mr. Ahmed",MALE,24.0,Third,0,0,0,  SOTON/O.Q. 3101311 ,7.0500,,Southampton,ali@yahoo.com,"May 29, 1911",$132.23
P00653,"Kalvik, Mr. Johannes Halvorsen",MALE,21.0,3,0,0.0,0,8475,8.4333,,Southampton,kalvik@gmail.com,1911-09-16,115.06 USD
P00413,"Minahan, Miss. Daisy E",f,33.0,1,1,1,0,19928,90.0000,C78,Q,minahan@yahoo.com,1912-09-07,"USD 1,461.38"
P00591,"Rintamaki, Mr. Matti",Male,35.0,3rd,0,0,0,STON/O 2. 3101273,7.125,,s,rintamaki@mail.com,01/02/1910,$72.24
P00514,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",f,54.0,First,1,1,0,PC 17603,59.4,,C,rothschild@mail.com,"Jul 14, 1910",835.14
P00810,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female ,33.0,1,1,1,0,113806,53.1000,E8,Southampton,chambers@mail.com,18/10/1910,"$1,984.43"
P00066,"Moubarek, Master. Gerios",m,,Third,1,1,1,2661,15.2458,,Cherbourg ,,15/03/1911,$501.21
P00320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",F,40.0,1st,1,1.0,1,16966,134.5,E34,C,spedden@mail.com,"Nov 14, 1911","USD 4,338.05"
P00287,"de Mulder, Mr. Theodore",m,30.0,3,1,0,0,345774,9.5000,,s,demulder@gmail.com,29/07/1910,187.84 USD
P00612,"Jardin, Mr. Jose Neto",MALE,,Third,No,0,0,SOTON/O.Q. 3101305,7.0500,,s,jardin@yahoo.com,09/08/1910,USD 140.08
P00329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",F,31.0,Third,1,1,1,363291,20.5250,,Southampton,goldsmith@gmail.com,04/27/1911,USD 207.60
P00745,"Stranden, Mr. Juho",m,31.0,Third,Yes,0,0,STON/O 2. 3101288,7.925,,Southampton,stranden@mail.com,08/11/1911,9999999.0
P00430,"Pickard, Mr. Berk (Berk Trembisky)",Male,32.0,3,1,0,0,  SOTON/O.Q. 392078 ,,E10,S,pickard@outlook.com,1910-05-06,2750000.0
P00315,"Hart, Mr. Benjamin",Male,43.0,2nd,0,1,1,  F.C.C. 13529 ,26.2500,,S,hart@gmail.com,"Sep 16, 1912",USD 251.55
P00050,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,Third,0,1,0,349237,17.8000,,S,arnoldfranchi@mail.com,1912-01-27,$293.08
P00668,"Rommetvedt, Mr. Knud Paust", male ,,3rd,0,0,0,  312993 ,7.7750,,s,rommetvedt@mail.com,25-Dec-1912,USD 222.18
P00169,"Baumann, Mr. John D",MALE,,First,0,0,0,PC 17318,25.9250,,S,baumann@yahoo.com,07/12/1910,
P00823,"Reuchlin, Jonkheer. John George",Male,38.0,1st,0,0,0,19972,0.0000,,Southampton,reuchlin@gmail.com,14/03/1912,0.00 USD
P00856,"Aks, Mrs. Sam (Leah Rosen)",female,18.0,3rd,1,0.0,1,  392091 ,9.3500,,Southampton,aks@mail.com,17-Dec-1912,297.40 USD
P100047,"Lennon, Mr. Denis",M,,Third,0,1,0,  370371 ,15.5000,,q,lennon@yahoo.com,06/12/1910,$183.85
P00573,"Flynn, Mr. John Irwin (""Irving"")", male ,,First,1,0,0,PC 17474,26.3875,E25,S,flynn@yahoo.com,1910-02-25,481.93
P00715,"Greenberg, Mr. Samuel",m,52.0,Second,0,0,0,  250647 ,13.0000,,S,greenberg@mail.com,"Sep 01, 1912",218.90
P00034,"Wheadon, Mr. Edward H",M,66.0,2nd,0,0,0,C.A. 24579,10.5,,s,,1910-09-29,$139.54
P00032,"Spencer, Mrs. William Augustus (Marie Eugenie)",FEMALE,,1st,1,1,0,PC 17569,146.5208,B78,c,spencer@gmail.com,04/05/1911,NULL
P00685,"Brown, Mr. Thomas William Solomon", male ,60.0,2,0,1,1,29750,39.0000,,Southampton,,15/12/1910,593.02
P00418,"Silven, Miss. Lyyli Karoliina",female,18.0,2nd,1,0,2,  250652 ,13.0000,,S,silven@gmail.com,31-Mar-1911,125.87 USD
P00526,"Farrell, Mr. James", male ,40.5,3rd,0,0,0,  367232 ,7.7500,,Queenstown,farrell@yahoo.com,11/27/1911,USD 197.33
P00248,"Hamalainen, Mrs. William (Anna)",F,24.0,2nd,1,0,2,250649,14.5000,,s,hamalainen@yahoo.com,25/03/1912,$139.86
P00110,"Moran, Miss. Bertha",female,,3rd,1,1,0,371110,24.1500,,Queenstown,moran@outlook.com,06/04/1912,241.16 USD
P00078,"Moutal, Mr. Rahamin Haim", male ,,3,No,0,0,374746,8.05,,Southampton,moutal@gmail.com,"Oct 04, 1912",$207.22
P00347,"Smith, Miss. Marion Elsie",Female,40.0,2nd,1,0,0,31418,13.0000,,s,smith@mail.com,"May 16, 1910",279.86 USD
P00214,"Givard, Mr. Hans Kristensen", male ,30.0,Second,0,0,0,  250646 ,13.0,,Southampton,givard@yahoo.com,02-Dec-1910,161.54 USD
P00083,"McDermott, Miss. Brigdet Delia",f,,3,1,0,0,330932,7.7875,,Queenstown,mcdermott@gmail.com,1911-06-04,$290.78
P00299,"Saalfeld, Mr. Adolphe",Male,,1,1,0.0,0,19988,30.5000,,Southampton,saalfeld@yahoo.com,01/09/1910,USD 881.85
P00332,"Partner, Mr. Austen", male ,45.5,1st,0,0,0,  113043 ,28.5000,C124,s,partner@yahoo.com,11/18/1912,"1,043.79 USD"
P00433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,2,1,1,0,SC/AH 3085,26.0000,,s,louch@mail.com,28-Aug-1912,862.49 USD
P00868,"Roebling, Mr. Washington Augustus II",male,31.0,First,0,0,0,PC 17590,50.4958,A24,Southampton,roebling@mail.com,"Sep 18, 1911","$1,862.92"
P00706,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",M,,2,No,0,0,  250655 ,26.0000,,s,morley@outlook.com,1911-12-23,367.68
P00533,"Elias, Mr. Joseph Jr",M,17.0,3,0,1,1,2690,7.2292,,Cherbourg ,,09/01/1912,147.21
P00600,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Male,49.0,First,1,1.0,0,PC 17485,56.9292,A20,C,duffgordon@outlook.com,10/28/1910,$565.34
P00006,"Moran, Mr. James",Male,,3,0,0,0,330877,8.4583,,Q,moran@mail.com,07/12/1911,142.94 USD
P00055,"Ostby, Mr. Engelhart Cornelius",MALE,-1.0,1st,0,0,1,  113509 ,61.9792,B30,Cherbourg ,ostby@yahoo.com,"May 11, 1910",982.26 USD
P00266,"Reeves, Mr. David",male,36.0,Second,0,0,0,  C.A. 17248 ,10.5000,,s,reeves@outlook.com,12-May-1910,101.74 USD
P00479,"Karlsson, Mr. Nils August",m,22.0,3rd,0,0,0,  350060 ,7.5208,,Southampton,karlsson@outlook.com,11/26/1911,USD 142.99
P00334,"Vander Planke, Mr. Leo Edmondus",male,16.0,3,0,2.0,0,  345764 ,18.0000,,S,vanderplanke@mail.com,1911-04-02,USD 243.05
P00787,"Sjoblom, Miss. Anna Sofia",f,18.0,3,Yes,0.0,0,  3101265 ,7.4958,,Southampton,sjoblom@gmail.com,05-Apr-1911,$165.80
P00098,"Greenfield, Mr. William Bertram",MALE,23.0,1st,1,0,1,PC 17759,63.3583,D10 D12,C,greenfield@outlook.com,27-Sep-1910,"USD 1,201.08"
