Passenger Id,Name,Sex,Age,Pclass,Survived,SibSp,Parch,Ticket,Fare,Cabin,HasCabin,Deck,Embarked,Email,Join Date,Annual Spend
P00064,"Skoog, Master. Harald",Male,4.0,3,0,3,2,347088,27.9,,0,Unknown,S,skoog@mail.com,1912-05-10,252.89
P00193,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,19.0,3,1,1,0,350046,7.8542,,0,Unknown,S,andersenjensen@outlook.com,1911-09-01,274.79
P00482,"Frost, Mr. Anthony Wood ""Archie""",Male,30.0,2,0,0,0,239854,0.0,,0,Unknown,S,frost@mail.com,1911-05-08,379.24
P00866,"Bystrom, Mrs. (Karolina)",Female,42.0,2,1,0,0,236852,13.0,,0,Unknown,S,bystrom@outlook.com,1911-01-17,162.67
P00068,"Crease, Mr. Ernest James",Male,28.0,3,0,0,0,S.P. 3464,8.1583,,0,Unknown,S,crease@yahoo.com,1912-11-29,193.35
P00073,"Hood, Mr. Ambrose Jr",Male,21.0,3,0,0,0,S.O.C. 14879,73.5,,0,Unknown,S,hood@yahoo.com,1910-08-27,883.56
P00656,"Hickman, Mr. Leonard Mark",Male,24.0,3,0,2,0,S.O.C. 14879,73.5,,0,Unknown,S,hickman@outlook.com,1912-01-23,1154.66
P00680,"Cardeza, Mr. Thomas Drake Martinez",Male,36.0,1,1,0,1,PC 17755,512.3292,B51 B53 B55,1,B,C,cardeza@mail.com,1910-03-28,1192.635
P00140,"Giglio, Mr. Victor",Male,24.0,3,0,0,0,PC 17593,79.2,B86,1,B,C,giglio@yahoo.com,1911-06-18,2057.47
P00733,"Knight, Mr. Robert J",Male,48.0,2,0,0,0,239855,0.0,,0,Unknown,S,knight@mail.com,1910-01-19,379.24
P00824,"Moor, Mrs. (Beila)",Female,27.0,3,1,0,1,392096,12.475,E121,1,E,S,moor@outlook.com,1911-07-12,220.09
P00175,"Smith, Mr. James Clinch",Male,56.0,1,0,0,0,17764,30.6958,A7,1,A,S,smith@outlook.com,1911-03-01,1204.38
P00500,"Svensson, Mr. Olof",Male,24.0,3,0,0,0,350035,7.7958,,0,Unknown,S,svensson@yahoo.com,1910-12-02,295.83
P00071,"Jenkin, Mr. Stephen Curnow",Male,32.0,2,0,0,0,C.A. 33111,10.5,,0,Unknown,S,jenkin@mail.com,1911-03-24,230.01
P00717,"Endres, Miss. Caroline Louise",Female,38.0,1,1,0,0,PC 17757,227.525,C45,1,C,C,endres@outlook.com,1911-10-13,3746.68
P00024,"Sloper, Mr. William Thompson",Male,28.0,3,1,0,0,113788,35.5,A6,1,A,S,sloper@mail.com,1911-10-11,1399.97
P00542,"Andersson, Miss. Ingeborg Constanzia",Female,9.0,3,0,4,2,347082,31.275,,0,Unknown,S,andersson@gmail.com,1910-07-07,252.89
P00799,"Ibrahim Shawah, Mr. Yousseff",Male,30.0,3,0,0,0,2685,7.2292,,0,Unknown,C,ibrahimshawah@yahoo.com,1910-04-14,149.23
P00673,"Mitchell, Mr. Henry Michael",Male,70.0,2,0,0,0,C.A. 24580,10.5,,0,Unknown,S,mitchell@outlook.com,1912-10-03,379.24
P00826,"Flynn, Mr. John",Male,26.5,3,0,0,0,368323,6.95,,0,Unknown,Q,flynn@gmail.com,1911-12-09,130.52
P00251,"Reed, Mr. James George",Male,28.0,3,0,0,0,362316,7.25,,0,Unknown,S,reed@gmail.com,1911-01-06,240.69
P00753,"Vande Velde, Mr. Johannes Joseph",Male,33.0,3,0,0,0,345780,9.5,,0,Unknown,S,vandevelde@gmail.com,1911-10-14,136.97
P00351,"Odahl, Mr. Nils Martin",Male,23.0,3,0,0,0,7267,9.225,,0,Unknown,S,odahl@outlook.com,1912-05-01,168.38
P00759,"Theobald, Mr. Thomas Leonard",Male,34.0,3,0,0,0,363294,8.05,,0,Unknown,S,,1912-07-04,271.18
P00760,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Female,33.0,3,1,0,0,110152,86.5,B77,1,B,S,rothes@outlook.com,1910-07-27,1428.37
P00108,"Moss, Mr. Albert Johan",Male,26.0,3,1,0,0,312991,7.775,,0,Unknown,S,moss@outlook.com,1912-11-19,309.35
P00446,"Dodge, Master. Washington",Male,4.0,1,1,0,2,33638,81.8583,A34,1,A,S,dodge@outlook.com,1911-11-30,1146.3
P00142,"Nysten, Miss. Anna Sofia",Female,22.0,3,1,0,0,347081,7.75,,0,Unknown,S,nysten@gmail.com,1912-11-03,188.22
P00651,"Mitkoff, Mr. Mito",Male,26.0,3,0,0,0,349221,7.8958,,0,Unknown,S,mitkoff@yahoo.com,1910-09-22,124.0
P00545,"Douglas, Mr. Walter Donald",Male,50.0,3,0,1,0,PC 17761,106.425,C86,1,C,C,douglas@mail.com,1910-04-22,4174.37
P00111,"Porter, Mr. Walter Chamberlain",Male,47.0,1,0,0,0,110465,61.679199999999994,C110,1,C,S,porter@yahoo.com,1912-03-17,1178.55
P00594,"Bourke, Miss. Mary",Female,24.0,3,0,0,2,364848,7.75,,0,Unknown,Q,bourke@mail.com,1911-03-31,220.13
P00520,"Pavlovic, Mr. Stefo",Male,30.0,3,0,0,0,349242,7.8958,,0,Unknown,S,pavlovic@outlook.com,1910-08-03,272.88
P100042,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,27.0,3,0,1,0,11668,21.0,,0,Unknown,S,turpin@mail.com,1910-10-09,440.06
P00676,"Edvardsson, Mr. Gustaf Hjalmar",Male,18.0,3,0,0,0,349912,7.775,,0,Unknown,S,edvardsson@outlook.com,1912-11-26,82.39
P00281,"Duane, Mr. Frank",Male,65.0,3,0,0,0,336439,7.75,,0,Unknown,Q,duane@yahoo.com,1911-11-22,244.97
P00137,"Newsom, Miss. Helen Monypeny",Female,19.0,3,1,0,2,11752,26.2833,D47,1,D,S,newsom@outlook.com,1910-11-04,518.38
P00423,"Zimmerman, Mr. Leo",Male,22.0,3,0,0,0,315082,7.875,,0,Unknown,S,zimmerman@mail.com,1912-07-23,64.16
P00209,"Carr, Miss. Helen ""Ellen""",Female,16.0,3,1,0,0,367231,7.75,,0,Unknown,Q,carr@yahoo.com,1911-04-20,103.59
P00443,"Petterson, Mr. Johan Emil",Male,25.0,3,0,1,0,347076,7.775,,0,Unknown,S,petterson@gmail.com,1912-06-03,302.4
P00087,"Ford, Mr. William Neal",Male,16.0,3,0,1,3,W./C. 6608,34.375,,0,Unknown,S,ford@gmail.com,1911-09-19,252.89
P00045,"Devaney, Miss. Margaret Delia",Female,19.0,3,1,0,0,330958,7.8792,,0,Unknown,Q,devaney@gmail.com,1912-10-26,115.18
P00532,"Toufik, Mr. Nakli",Male,26.0,3,0,0,0,2641,8.05,,0,Unknown,C,toufik@gmail.com,1911-10-07,163.42
P100048,"O'Driscoll, Miss. Bridget",Female,19.0,3,1,0,0,14311,7.75,,0,Unknown,Q,odriscoll@mail.com,1911-05-21,284.24
P00635,"Skoog, Miss. Mabel",Female,9.0,3,0,3,2,347088,27.9,,0,Unknown,S,skoog@gmail.com,1910-02-21,379.6
P00291,"Barber, Miss. Ellen ""Nellie""",Female,26.0,3,1,0,0,19877,78.85,,0,Unknown,S,barber@mail.com,1912-12-10,930.83
P00339,"Dahl, Mr. Karl Edwart",Male,45.0,3,1,0,0,7598,8.05,,0,Unknown,S,dahl@gmail.com,1910-11-12,79.72
P00358,"Funk, Miss. Annie Clemmer",Female,38.0,3,0,0,0,237671,13.0,,0,Unknown,S,funk@mail.com,1910-12-23,473.56
P00293,"Levy, Mr. Rene Jacques",Male,48.0,2,0,0,0,SC/Paris 2163,13.7917,D,1,D,C,levy@mail.com,1911-05-06,175.63
P00228,"Lovell, Mr. John Hall (""Henry"")",Male,20.5,3,0,0,0,A/5 21173,7.25,,0,Unknown,S,lovell@outlook.com,1912-03-02,120.79
P00592,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Female,52.0,1,1,1,0,36947,78.2667,D20,1,D,C,stephenson@mail.com,1910-11-14,2111.21
P00426,"Wiseman, Mr. Phillippe",Male,28.0,3,0,0,0,A/4. 34244,7.25,,0,Unknown,S,wiseman@gmail.com,1912-02-17,188.54
P00789,"Dean, Master. Bertram Vere",Male,1.0,3,1,1,2,C.A. 2315,20.575,,0,Unknown,S,dean@outlook.com,1911-07-18,511.88
P00523,"Lahoud, Mr. Sarkis",Male,22.0,3,0,0,0,2624,7.225,,0,Unknown,C,lahoud@gmail.com,1912-05-17,275.91
P100050,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,18.0,3,0,1,0,349237,17.8,,0,Unknown,S,arnoldfranchi@mail.com,1912-01-27,293.08
P00353,"Elias, Mr. Tannous",Male,15.0,3,0,1,1,2695,7.2292,,0,Unknown,C,elias@yahoo.com,1911-06-21,70.62
P00494,"Artagaveytia, Mr. Ramon",Male,71.0,1,0,0,0,PC 17609,49.5042,,0,Unknown,S,,1911-02-28,1914.76
P00061,"Sirayanian, Mr. Orsen",Male,25.0,3,0,0,0,2669,7.2292,,0,Unknown,C,sirayanian@mail.com,1910-11-30,115.3
P00599,"Boulos, Mr. Hanna",Male,26.0,3,0,0,0,2664,7.225,,0,Unknown,C,boulos@outlook.com,1911-07-11,167.75
P00723,"Gillespie, Mr. William Henry",Male,50.0,3,0,0,0,12233,13.0,,0,Unknown,S,gillespie@mail.com,1912-01-29,261.38
P00427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",Female,28.0,2,1,1,0,2003,26.0,,0,Unknown,S,clarke@mail.com,1911-09-10,230.07
P00469,"Scanlan, Mr. James",Male,25.0,3,0,0,0,36209,7.725,,0,Unknown,Q,scanlan@gmail.com,1911-05-02,102.19
P00067,"Nye, Mrs. (Elizabeth Ramell)",Female,29.0,3,1,0,0,C.A. 29395,10.5,F33,1,F,S,nye@mail.com,1911-11-26,257.93
P00333,"Graham, Mr. George Edward",Male,38.0,3,0,0,1,PC 17582,153.4625,,0,Unknown,S,graham@yahoo.com,1911-12-18,4401.5
P00376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",Female,28.0,3,1,1,0,PC 17604,82.1708,,0,Unknown,C,meyer@gmail.com,1910-03-02,1105.27
P00382,"Nakid, Miss. Maria (""Mary"")",Female,1.0,3,1,0,2,2653,15.7417,,0,Unknown,C,nakid@mail.com,1912-10-17,326.18
P00558,"Robbins, Mr. Victor",Male,36.0,1,0,0,0,PC 17757,227.525,,0,Unknown,C,robbins@mail.com,1912-03-20,6377.9
P00261,"Smith, Mr. Thomas",Male,28.0,3,0,0,0,384461,7.75,,0,Unknown,Q,,1911-07-07,280.01
P00236,"Harknett, Miss. Alice Phoebe",Female,18.0,3,0,0,0,W./C. 6609,7.55,,0,Unknown,S,harknett@outlook.com,1912-07-24,319.075
P00219,"Bazzani, Miss. Albina",Female,32.0,1,1,0,0,11813,76.2917,D15,1,D,C,bazzani@yahoo.com,1910-02-18,1080.51
P00383,"Tikkanen, Mr. Juho",Male,32.0,3,0,0,0,STON/O 2. 3101293,7.925,,0,Unknown,S,tikkanen@mail.com,1912-01-10,211.69
P00440,"Kvillner, Mr. Johan Henrik Johannesson",Male,31.0,3,0,0,0,C.A. 18723,10.5,,0,Unknown,S,kvillner@yahoo.com,1911-05-08,344.37
P00763,"Barah, Mr. Hanna Assi",Male,20.0,3,1,0,0,2663,7.2292,,0,Unknown,C,barah@mail.com,1911-10-15,89.07
P00306,"Allison, Master. Hudson Trevor",Male,36.0,1,1,1,2,113781,151.55,C22 C26,1,C,S,allison@gmail.com,1912-02-21,2283.18
P00138,"Futrelle, Mr. Jacques Heath",Male,37.0,1,0,1,0,113803,53.1,,0,Unknown,S,futrelle@gmail.com,1911-09-11,1679.68
P00539,"Risien, Mr. Samuel Beard",Male,25.0,3,0,0,0,364498,14.5,,0,Unknown,S,risien@outlook.com,1912-05-12,322.98
P00077,"Staneff, Mr. Ivan",Male,26.0,3,0,0,0,349208,7.8958,,0,Unknown,S,staneff@yahoo.com,1910-12-14,104.5
P00794,"Hoyt, Mr. William Fisher",Male,33.5,1,0,0,0,PC 17600,30.6958,,0,Unknown,C,hoyt@mail.com,1911-01-28,361.32
P00437,"Ford, Miss. Doolina Margaret ""Daisy""",Female,21.0,3,0,2,2,W./C. 6608,34.375,,0,Unknown,S,,1910-04-03,896.59
P00267,"Panula, Mr. Ernesti Arvid",Male,16.0,3,0,4,1,3101295,39.6875,,0,Unknown,S,panula@yahoo.com,1912-07-20,318.16
P00216,"Newell, Miss. Madeleine",Female,31.0,1,1,1,0,35273,113.275,D36,1,D,C,newell@yahoo.com,1910-09-25,1192.635
P00335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Female,23.0,1,1,1,0,PC 17611,133.65,,0,Unknown,S,frauenthal@yahoo.com,1912-11-27,4876.68
P00524,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Female,44.0,1,1,0,1,111361,57.9792,B18,1,B,C,hippach@mail.com,1911-10-03,1192.635
P00508,"Bradley, Mr. George (""George Arthur Brayton"")",Male,47.5,3,1,0,0,111427,26.55,,0,Unknown,S,bradley@gmail.com,1910-01-28,694.5
P00210,"Blank, Mr. Henry",Male,40.0,3,1,0,0,112277,31.0,A31,1,A,C,blank@mail.com,1911-06-10,255.45
P00445,"Johannesen-Bratthammer, Mr. Bernt",Male,22.0,3,1,0,0,65306,8.1125,,0,Unknown,S,,1912-12-29,287.02
P00750,"Connaghton, Mr. Michael",Male,31.0,3,0,0,0,335097,7.75,,0,Unknown,S,connaghton@gmail.com,1912-01-03,249.13
P00663,"Colley, Mr. Edward Pomeroy",Male,47.0,1,0,0,0,5727,25.5875,E58,1,E,S,colley@gmail.com,1911-09-11,507.06
P00199,"Madigan, Miss. Margaret ""Maggie""",Female,14.0,3,1,0,0,370370,7.75,,0,Unknown,Q,madigan@yahoo.com,1910-06-05,319.075
P00839,"Chip, Mr. Chang",Male,32.0,3,1,0,0,1601,56.4958,,0,Unknown,S,,1910-04-25,1168.67
P00300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",Female,24.0,3,1,0,1,PC 17558,247.5208,B58 B60,1,B,C,baxter@gmail.com,1911-03-31,5534.4
P00598,"Johnson, Mr. Alfred",Male,49.0,3,0,0,0,LINE,0.0,,0,Unknown,S,johnson@mail.com,1910-05-02,252.89
P00686,"Laroche, Mr. Joseph Philippe Lemercier",Male,25.0,2,0,1,2,SC/Paris 2123,41.5792,,0,Unknown,C,laroche@mail.com,1911-08-24,1387.75
P00844,"Lemberopolous, Mr. Peter L",Male,34.5,3,0,0,0,2683,6.4375,,0,Unknown,C,lemberopolous@gmail.com,1912-01-08,230.02
P00498,"Shellard, Mr. Frederick William",Male,25.5,3,0,0,0,C.A. 6212,15.1,,0,Unknown,S,shellard@yahoo.com,1912-09-02,557.12
P00317,"Kantor, Mrs. Sinai (Miriam Sternin)",Female,24.0,3,1,1,0,244367,26.0,,0,Unknown,S,kantor@outlook.com,1912-02-29,612.51
P00295,"Mineff, Mr. Ivan",Male,24.0,3,0,0,0,349233,7.8958,,0,Unknown,S,mineff@outlook.com,1910-03-12,271.14
P00623,"Nakid, Mr. Sahid",Male,20.0,3,1,1,1,2653,15.7417,,0,Unknown,C,nakid@gmail.com,1910-12-29,502.36
P00003,"Heikkinen, Miss. Laina",Female,26.0,3,1,0,0,STON/O2. 3101282,7.925,,0,Unknown,S,heikkinen@outlook.com,1912-12-09,88.49
P00097,"Goldschmidt, Mr. George B",Male,71.0,3,0,0,0,PC 17754,34.6542,A5,1,A,C,goldschmidt@gmail.com,1910-12-13,332.8
P00468,"Smart, Mr. John Montgomery",Male,56.0,3,0,0,0,113792,26.55,,0,Unknown,S,smart@outlook.com,1910-04-23,798.73
P00121,"Hickman, Mr. Stanley George",Male,21.0,2,0,2,0,S.O.C. 14879,73.5,,0,Unknown,S,hickman@yahoo.com,1912-05-25,1998.48
P00466,"Goncalves, Mr. Manuel Estanslas",Male,38.0,3,0,0,0,SOTON/O.Q. 3101306,7.05,,0,Unknown,S,goncalves@mail.com,1911-01-12,173.82
P00549,"Goldsmith, Mr. Frank John",Male,33.0,3,0,1,1,363291,20.525,,0,Unknown,S,goldsmith@outlook.com,1912-11-12,806.02
P00079,"Caldwell, Master. Alden Gates",Male,0.83,2,1,0,2,248738,29.0,,0,Unknown,S,caldwell@outlook.com,1910-02-09,379.24
P00240,"Hunt, Mr. George Henry",Male,33.0,3,0,0,0,SCO/W 1585,12.275,,0,Unknown,S,hunt@outlook.com,1911-03-22,490.77
P00211,"Ali, Mr. Ahmed",Male,24.0,3,0,0,0,SOTON/O.Q. 3101311,7.05,,0,Unknown,S,ali@yahoo.com,1911-05-29,132.23
P00653,"Kalvik, Mr. Johannes Halvorsen",Male,21.0,3,0,0,0,8475,8.4333,,0,Unknown,S,kalvik@gmail.com,1911-09-16,115.06
P00413,"Minahan, Miss. Daisy E",Female,33.0,1,1,1,0,19928,90.0,C78,1,C,Q,minahan@yahoo.com,1912-09-07,1461.38
P00591,"Rintamaki, Mr. Matti",Male,35.0,3,0,0,0,STON/O 2. 3101273,7.125,,0,Unknown,S,rintamaki@mail.com,1910-02-01,72.24
P00514,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Female,54.0,3,1,1,0,PC 17603,59.4,,0,Unknown,C,rothschild@mail.com,1910-07-14,835.14
P00810,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Female,33.0,1,1,1,0,113806,53.1,E8,1,E,S,chambers@mail.com,1910-10-18,1984.43
P00066,"Moubarek, Master. Gerios",Male,25.0,3,1,1,1,2661,15.2458,,0,Unknown,C,,1911-03-15,501.21
P00320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Female,40.0,1,1,1,1,16966,134.5,E34,1,E,C,spedden@mail.com,1911-11-14,4338.05
P00287,"de Mulder, Mr. Theodore",Male,30.0,3,1,0,0,345774,9.5,,0,Unknown,S,demulder@gmail.com,1910-07-29,187.84
P00612,"Jardin, Mr. Jose Neto",Male,25.5,3,0,0,0,SOTON/O.Q. 3101305,7.05,,0,Unknown,S,jardin@yahoo.com,1910-08-09,140.08
P00329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",Female,31.0,3,1,1,1,363291,20.525,,0,Unknown,S,goldsmith@gmail.com,1911-04-27,207.6
P00745,"Stranden, Mr. Juho",Male,31.0,3,1,0,0,STON/O 2. 3101288,7.925,,0,Unknown,S,stranden@mail.com,1911-11-08,7727.5800000000045
P00430,"Pickard, Mr. Berk (Berk Trembisky)",Male,32.0,3,1,0,0,SOTON/O.Q. 392078,8.05,E10,1,E,S,pickard@outlook.com,1910-05-06,7727.5800000000045
P00315,"Hart, Mr. Benjamin",Male,43.0,2,0,1,1,F.C.C. 13529,26.25,,0,Unknown,S,hart@gmail.com,1912-09-16,251.55
P00668,"Rommetvedt, Mr. Knud Paust",Male,19.0,3,0,0,0,312993,7.775,,0,Unknown,S,rommetvedt@mail.com,1912-12-25,222.18
P00169,"Baumann, Mr. John D",Male,48.0,3,0,0,0,PC 17318,25.925,,0,Unknown,S,baumann@yahoo.com,1910-12-07,319.075
P00823,"Reuchlin, Jonkheer. John George",Male,38.0,1,0,0,0,19972,0.0,,0,Unknown,S,reuchlin@gmail.com,1912-03-14,1192.635
P00856,"Aks, Mrs. Sam (Leah Rosen)",Female,18.0,3,1,0,1,392091,9.35,,0,Unknown,S,aks@mail.com,1912-12-17,297.4
P100047,"Lennon, Mr. Denis",Male,28.0,3,0,1,0,370371,15.5,,0,Unknown,Q,lennon@yahoo.com,1910-12-06,183.85
P00573,"Flynn, Mr. John Irwin (""Irving"")",Male,38.0,3,1,0,0,PC 17474,26.3875,E25,1,E,S,flynn@yahoo.com,1910-02-25,481.93
P00715,"Greenberg, Mr. Samuel",Male,52.0,3,0,0,0,250647,13.0,,0,Unknown,S,greenberg@mail.com,1912-09-01,218.9
P00034,"Wheadon, Mr. Edward H",Male,66.0,2,0,0,0,C.A. 24579,10.5,,0,Unknown,S,,1910-09-29,139.54
P00032,"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,23.0,1,1,1,0,PC 17569,146.5208,B78,1,B,C,spencer@gmail.com,1911-05-04,1192.635
P00685,"Brown, Mr. Thomas William Solomon",Male,60.0,2,0,1,1,29750,39.0,,0,Unknown,S,,1910-12-15,593.02
P00418,"Silven, Miss. Lyyli Karoliina",Female,18.0,2,1,0,2,250652,13.0,,0,Unknown,S,silven@gmail.com,1911-03-31,125.87
P00526,"Farrell, Mr. James",Male,40.5,3,0,0,0,367232,7.75,,0,Unknown,Q,farrell@yahoo.com,1911-11-27,197.33
P00248,"Hamalainen, Mrs. William (Anna)",Female,24.0,2,1,0,2,250649,14.5,,0,Unknown,S,hamalainen@yahoo.com,1912-03-25,139.86
P00110,"Moran, Miss. Bertha",Female,21.0,3,1,1,0,371110,24.15,,0,Unknown,Q,moran@outlook.com,1912-04-06,241.16
P00078,"Moutal, Mr. Rahamin Haim",Male,26.0,3,0,0,0,374746,8.05,,0,Unknown,S,moutal@gmail.com,1912-10-04,207.22
P00347,"Smith, Miss. Marion Elsie",Female,40.0,2,1,0,0,31418,13.0,,0,Unknown,S,smith@mail.com,1910-05-16,279.86
P00214,"Givard, Mr. Hans Kristensen",Male,30.0,3,0,0,0,250646,13.0,,0,Unknown,S,givard@yahoo.com,1910-12-02,161.54
P00083,"McDermott, Miss. Brigdet Delia",Female,19.0,3,1,0,0,330932,7.7875,,0,Unknown,Q,mcdermott@gmail.com,1911-06-04,290.78
P00299,"Saalfeld, Mr. Adolphe",Male,33.5,1,1,0,0,19988,30.5,,0,Unknown,S,saalfeld@yahoo.com,1910-09-01,881.85
P00332,"Partner, Mr. Austen",Male,45.5,1,0,0,0,113043,28.5,C124,1,C,S,partner@yahoo.com,1912-11-18,1043.79
P00433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Female,42.0,2,1,1,0,SC/AH 3085,26.0,,0,Unknown,S,louch@mail.com,1912-08-28,862.49
P00868,"Roebling, Mr. Washington Augustus II",Male,31.0,3,0,0,0,PC 17590,50.4958,A24,1,A,S,roebling@mail.com,1911-09-18,1862.92
P00706,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",Male,28.0,2,0,0,0,250655,26.0,,0,Unknown,S,morley@outlook.com,1911-12-23,367.68
P00533,"Elias, Mr. Joseph Jr",Male,17.0,3,0,1,1,2690,7.2292,,0,Unknown,C,,1912-01-09,147.21
P00600,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Male,49.0,3,1,1,0,PC 17485,56.9292,A20,1,A,C,duffgordon@outlook.com,1910-10-28,565.34
P00006,"Moran, Mr. James",Male,28.25,3,0,0,0,330877,8.4583,,0,Unknown,Q,moran@mail.com,1911-12-07,142.94
P00055,"Ostby, Mr. Engelhart Cornelius",Male,35.0,1,0,0,1,113509,61.9792,B30,1,B,C,ostby@yahoo.com,1910-05-11,982.26
P00266,"Reeves, Mr. David",Male,36.0,3,0,0,0,C.A. 17248,10.5,,0,Unknown,S,reeves@outlook.com,1910-05-12,101.74
P00479,"Karlsson, Mr. Nils August",Male,22.0,3,0,0,0,350060,7.5208,,0,Unknown,S,karlsson@outlook.com,1911-11-26,142.99
P00334,"Vander Planke, Mr. Leo Edmondus",Male,16.0,3,0,2,0,345764,18.0,,0,Unknown,S,vanderplanke@mail.com,1911-04-02,243.05
P00787,"Sjoblom, Miss. Anna Sofia",Female,18.0,3,1,0,0,3101265,7.4958,,0,Unknown,S,sjoblom@gmail.com,1911-04-05,165.8
P00098,"Greenfield, Mr. William Bertram",Male,23.0,1,1,0,1,PC 17759,63.3583,D10 D12,1,D,C,greenfield@outlook.com,1910-09-27,1201.08
P00212,"Cameron, Miss. Clear Annie",Female,35.0,2,1,0,0,F.C.C. 13528,21.0,,0,Unknown,S,cameron@outlook.com,1912-10-03,703.93
